TANGGAL,CASH_IN,CASH_OUT,NET_CASH,BULAN
2025-01-02,5236000.0,3426900.0,1809100.0,JANUARI
2025-01-03,3733000.0,5458000.0,-1725000.0,JANUARI
2025-01-06,7511400.0,7460150.0,51250.0,JANUARI
2025-01-07,4180000.0,4262100.0,-82100.0,JANUARI
2025-01-08,281250000.0,283708500.0,-2458500.0,JANUARI
2025-01-09,14296500.0,7931300.0,6365200.0,JANUARI
2025-01-10,4182600.0,2700550.0,1482050.0,JANUARI
2025-01-13,7570500.0,7716600.0,-146100.0,JANUARI
2025-01-14,4367300.0,8195620.0,-3828320.0,JANUARI
2025-01-15,8953800.0,2754220.0,6199580.0,JANUARI
2025-01-16,5223000.0,12431243.0,-7208243.0,JANUARI
2025-01-17,4135000.0,4636900.0,-501900.0,JANUARI
2025-01-20,15169553.0,12325750.0,2843803.0,JANUARI
2025-01-21,4667500.0,3167920.0,1499580.0,JANUARI
2025-01-22,3719000.0,4902700.0,-1183700.0,JANUARI
2025-01-23,13787155.0,12063655.0,1723500.0,JANUARI
2025-01-24,3998000.0,19950355.0,-15952355.0,JANUARI
2025-01-30,9783500.0,8640050.0,1143450.0,JANUARI
2025-01-31,4263500.0,3548000.0,715500.0,JANUARI
2025-02-03,4859000.0,700000.0,4159000.0,FEBRUARI
2025-02-04,9733200.0,5242000.0,4491200.0,FEBRUARI
2025-02-05,4248500.0,3446000.0,802500.0,FEBRUARI
2025-02-06,4156000.0,450000.0,3706000.0,FEBRUARI
2025-02-07,11581500.0,29792400.0,-18210900.0,FEBRUARI
2025-02-10,4859500.0,3758850.0,1100650.0,FEBRUARI
2025-02-11,7361000.0,13399173.0,-6038173.0,FEBRUARI
2025-02-12,4776000.0,8163620.0,-3387620.0,FEBRUARI
2025-02-14,4170000.0,4840000.0,-670000.0,FEBRUARI
2025-02-17,3648000.0,2646400.0,1001600.0,FEBRUARI
2025-02-18,17303000.0,5289300.0,12013700.0,FEBRUARI
2025-02-19,4325000.0,6606300.0,-2281300.0,FEBRUARI
2025-02-20,3812500.0,4833800.0,-1021300.0,FEBRUARI
2025-02-24,8343200.0,2464700.0,5878500.0,FEBRUARI
2025-02-25,7208000.0,12083630.0,-4875630.0,FEBRUARI
2025-02-26,5161355.0,4435000.0,726355.0,FEBRUARI
2025-02-27,3142600.0,51872425.0,-48729825.0,FEBRUARI
2025-02-28,56327673.0,665000.0,55662673.0,FEBRUARI
2025-03-03,7815700.0,6933650.0,882050.0,MARET
2025-03-04,1991000.0,6584500.0,-4593500.0,MARET
2025-03-05,8446500.0,7437200.0,1009300.0,MARET
2025-03-06,12900500.0,780700.0,12119800.0,MARET
2025-03-07,2473000.0,6491950.0,-4018950.0,MARET
2025-03-08,0.0,250000.0,-250000.0,MARET
2025-03-10,5759500.0,1696000.0,4063500.0,MARET
2025-03-11,4465600.0,2787000.0,1678600.0,MARET
2025-03-12,4980200.0,1660000.0,3320200.0,MARET
2025-03-13,10725400.0,1736000.0,8989400.0,MARET
2025-03-14,484700.0,11393450.0,-10908750.0,MARET
2025-03-17,11436600.0,4317400.0,7119200.0,MARET
2025-03-18,7359700.0,2859500.0,4500200.0,MARET
2025-03-19,1450000.0,6196500.0,-4746500.0,MARET
2025-03-20,2163500.0,3598000.0,-1434500.0,MARET
2025-03-21,8444800.0,9527800.0,-1083000.0,MARET
2025-03-24,8426900.0,6775000.0,1651900.0,MARET
2025-03-25,5664000.0,1061000.0,4603000.0,MARET
2025-03-26,1250000.0,2181500.0,-931500.0,MARET
2025-03-27,4681500.0,8800000.0,-4118500.0,MARET
2025-04-08,10178500.0,10695200.0,-516700.0,APRIL
2025-04-09,4172000.0,6974600.0,-2802600.0,APRIL
2025-04-10,2862700.0,7387700.0,-4525000.0,APRIL
2025-04-11,5137600.0,20900000.0,-15762400.0,APRIL
2025-04-14,3945000.0,9054760.0,-5109760.0,APRIL
2025-04-15,6574000.0,3596645.0,2977355.0,APRIL
2025-04-16,6136000.0,26790360.0,-20654360.0,APRIL
2025-04-17,5076500.0,0.0,5076500.0,APRIL
2025-04-21,20408272.0,0.0,20408272.0,APRIL
2025-04-22,6227000.0,21063652.0,-14836652.0,APRIL
2025-04-23,6295500.0,0.0,6295500.0,APRIL
2025-04-24,3865000.0,0.0,3865000.0,APRIL
2025-04-25,3632000.0,0.0,3632000.0,APRIL
2025-04-28,3760500.0,17461100.0,-13700600.0,APRIL
2025-04-29,4375500.0,0.0,4375500.0,APRIL
2025-04-30,10460618.0,0.0,10460618.0,APRIL
2025-05-02,15697800.0,15323250.0,374550.0,MEI
2025-05-05,6553000.0,6795591.0,-242591.0,MEI
