TANGGAL,Cash_Inflow,Cash_Outflow,Net_Cashflow,Net_Cashflow_lag_1,Cash_Inflow_lag_1,Cash_Outflow_lag_1,Net_Cashflow_lag_2,Cash_Inflow_lag_2,Cash_Outflow_lag_2,Net_Cashflow_lag_3,Cash_Inflow_lag_3,Cash_Outflow_lag_3,Net_Cashflow_lag_7,Cash_Inflow_lag_7,Cash_Outflow_lag_7,Net_Cashflow_roll_mean_7,Net_Cashflow_roll_std_7,Net_Cashflow_roll_mean_30,Net_Cashflow_roll_std_30,Day_of_Week,Day_of_Month,Month_Num,Is_Weekend
2025-02-01,0.0,0.0,0.0,715500.0,4263500.0,3548000.0,1143450.0,9783500.0,8640050.0,0.0,0.0,0.0,0.0,0.0,0.0,265564.28571428574,470061.5958877851,-308440.1666666667,3843883.112822341,5,1,2,1
2025-02-02,0.0,0.0,0.0,0.0,0.0,0.0,715500.0,4263500.0,3548000.0,1143450.0,9783500.0,8640050.0,0.0,0.0,0.0,265564.28571428574,470061.5958877851,-368743.5,3823654.8159059207,6,2,2,1
2025-02-03,4859000.0,700000.0,4159000.0,0.0,0.0,0.0,0.0,0.0,0.0,715500.0,4263500.0,3548000.0,0.0,0.0,0.0,265564.28571428574,470061.5958877851,-311243.5,3815517.7755012563,0,3,2,0
2025-02-04,9733200.0,5242000.0,4491200.0,4159000.0,4859000.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859707.1428571428,1524413.7972864,-172610.16666666666,3901797.681880363,1,4,2,0
2025-02-05,4248500.0,3446000.0,802500.0,4491200.0,9733200.0,5242000.0,4159000.0,4859000.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,1501307.142857143,1979482.8715324805,-22903.5,3993726.536401705,2,5,2,0
2025-02-06,4156000.0,450000.0,3706000.0,802500.0,4248500.0,3446000.0,4491200.0,9733200.0,5242000.0,4159000.0,4859000.0,700000.0,1143450.0,9783500.0,8640050.0,1615950.0,1899671.9903271014,2138.1666666666665,3996561.7870924585,3,6,2,0
2025-02-07,11581500.0,29792400.0,-18210900.0,3706000.0,4156000.0,450000.0,802500.0,4248500.0,3446000.0,4491200.0,9733200.0,5242000.0,715500.0,4263500.0,3548000.0,1982028.5714285714,2035496.6688863963,128408.16666666667,4053248.379910145,4,7,2,0
2025-02-08,0.0,0.0,0.0,-18210900.0,11581500.0,29792400.0,3706000.0,4156000.0,450000.0,802500.0,4248500.0,3446000.0,0.0,0.0,0.0,-721742.8571428572,7956518.189898801,-396671.8333333333,5245039.398377001,5,8,2,1
2025-02-09,0.0,0.0,0.0,0.0,0.0,0.0,-18210900.0,11581500.0,29792400.0,3706000.0,4156000.0,450000.0,0.0,0.0,0.0,-721742.8571428572,7956518.189898801,-608845.1666666666,5088481.3213594025,6,9,2,1
2025-02-10,4859500.0,3758850.0,1100650.0,0.0,0.0,0.0,0.0,0.0,0.0,-18210900.0,11581500.0,29792400.0,4159000.0,4859000.0,700000.0,-721742.8571428572,7956518.189898801,-658246.8333333334,5074657.306845806,0,10,2,0
2025-02-11,7361000.0,13399173.0,-6038173.0,1100650.0,4859500.0,3758850.0,0.0,0.0,0.0,0.0,0.0,0.0,4491200.0,9733200.0,5242000.0,-1158650.0,7724423.820637586,-621558.5,5083551.245958891,1,11,2,0
2025-02-12,4776000.0,8163620.0,-3387620.0,-6038173.0,7361000.0,13399173.0,1100650.0,4859500.0,3758850.0,0.0,0.0,0.0,802500.0,4248500.0,3446000.0,-2662846.1428571427,7461579.7880065255,-822830.9333333333,5176772.942135983,2,12,2,0
2025-02-13,0.0,0.0,0.0,-3387620.0,4776000.0,8163620.0,-6038173.0,7361000.0,13399173.0,1100650.0,4859500.0,3758850.0,3706000.0,4156000.0,450000.0,-3261434.714285714,7303646.953246414,-930881.6,5195954.309951008,3,13,2,0
2025-02-14,4170000.0,4840000.0,-670000.0,0.0,0.0,0.0,-3387620.0,4776000.0,8163620.0,-6038173.0,7361000.0,13399173.0,-18210900.0,11581500.0,29792400.0,-3790863.285714286,6833609.350335952,-803270.9333333333,5169283.120263742,4,14,2,0
2025-02-15,0.0,0.0,0.0,-670000.0,4170000.0,4840000.0,0.0,0.0,0.0,-3387620.0,4776000.0,8163620.0,0.0,0.0,0.0,-1285020.4285714286,2517832.7437139247,-1032256.9333333333,4997682.061499456,5,15,2,1
2025-02-16,0.0,0.0,0.0,0.0,0.0,0.0,-670000.0,4170000.0,4840000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1285020.4285714286,2517832.7437139247,-791982.1666666666,4861952.0176039925,6,16,2,1
2025-02-17,3648000.0,2646400.0,1001600.0,0.0,0.0,0.0,0.0,0.0,0.0,-670000.0,4170000.0,4840000.0,1100650.0,4859500.0,3758850.0,-1285020.4285714286,2517832.7437139247,-775252.1666666666,4863847.762068991,0,17,2,0
2025-02-18,17303000.0,5289300.0,12013700.0,1001600.0,3648000.0,2646400.0,0.0,0.0,0.0,0.0,0.0,0.0,-6038173.0,7361000.0,13399173.0,-1299170.4285714286,2502422.106180595,-741865.5,4872782.198051766,1,18,2,0
2025-02-19,4325000.0,6606300.0,-2281300.0,12013700.0,17303000.0,5289300.0,1001600.0,3648000.0,2646400.0,0.0,0.0,0.0,-3387620.0,4776000.0,8163620.0,1279668.5714285714,4929404.932739276,-341408.8333333333,5400891.7037972165,2,19,2,0
2025-02-20,3812500.0,4833800.0,-1021300.0,-2281300.0,4325000.0,6606300.0,12013700.0,17303000.0,5289300.0,1001600.0,3648000.0,2646400.0,0.0,0.0,0.0,1437714.2857142857,4769980.142666068,-512245.6,5377672.076722845,3,20,2,0
2025-02-21,0.0,0.0,0.0,-1021300.0,3812500.0,4833800.0,-2281300.0,4325000.0,6606300.0,12013700.0,17303000.0,5289300.0,-670000.0,4170000.0,4840000.0,1291814.2857142857,4836441.263790481,-596274.9333333333,5364831.900344624,4,21,2,0
2025-02-22,0.0,0.0,0.0,0.0,0.0,0.0,-1021300.0,3812500.0,4833800.0,-2281300.0,4325000.0,6606300.0,0.0,0.0,0.0,1387528.5714285714,4797619.633288399,-556818.2666666667,5364715.46624906,5,22,2,1
2025-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1021300.0,3812500.0,4833800.0,0.0,0.0,0.0,1387528.5714285714,4797619.633288399,-614268.2666666667,5348658.127206861,6,23,2,1
2025-02-24,8343200.0,2464700.0,5878500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001600.0,3648000.0,2646400.0,1387528.5714285714,4797619.633288399,-82523.1,4496258.990141122,0,24,2,0
2025-02-25,7208000.0,12083630.0,-4875630.0,5878500.0,8343200.0,2464700.0,0.0,0.0,0.0,0.0,0.0,0.0,12013700.0,17303000.0,5289300.0,2084228.5714285714,5078140.607123272,113426.9,4626196.384116709,1,25,2,0
2025-02-26,5161355.0,4435000.0,726355.0,-4875630.0,7208000.0,12083630.0,5878500.0,8343200.0,2464700.0,0.0,0.0,0.0,-2281300.0,4325000.0,6606300.0,-328532.85714285716,3261399.9207738754,-49094.1,4715106.052029184,2,26,2,0
2025-02-27,3142600.0,51872425.0,-48729825.0,726355.0,5161355.0,4435000.0,-4875630.0,7208000.0,12083630.0,5878500.0,8343200.0,2464700.0,-1021300.0,3812500.0,4833800.0,101132.14285714286,3157730.763557195,-24882.266666666666,4717231.26005521,3,27,2,0
