 ,KETERANGAN,TANGGAL,URAIAN,NO_BUKTI, DBT_KAS ,K_QRIS BNI,BANK BJB,PHOTOCOPY,KANTI N,K_PENJ_  B_ POKOKP,penjualan kredit,K_REALISASI_ B_ POKOK,K_DANA_ BINGKISAN,K_RETUR_ B_ POKOK,K_VOUCHER_ BELANJA,DANA SERTAAN,HUTANG TOKO,TRX BJB,Column4,Column5,Column6,Column7,Column8,BULAN,Column1,,,,
,,,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Jan-25,penerimaan kas,,"  5,236,000 ",,,,,"  5,236,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,3-Jan-25,penerimaan kas,,"  3,733,000 ",,,,,"  3,733,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,6-Jan-25,penerimaan kas,,"  650,000 ",,,,,,,,,,"  650,000 ",,,,,,,,, JANUARI ,,,,,
,,6-Jan-25,penerimaan kas,,"  2,824,400 ",,,,,,,"  2,824,400 ",,,,,,,,,,,, JANUARI ,,,,,
,,6-Jan-25,penerimaan kas,,"  4,037,000 ",,,,,"  4,037,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,7-Jan-25,penerimaan kas,,"  4,180,000 ",,,,,"  4,180,000 ",,,  - ,,,,,,,,,,, JANUARI ,,,,,
,,8-Jan-25,penerimaan kas,,"  281,250,000 ",,,,,,,,"  281,250,000 ",,,,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  4,348,500 ",,,,,"  4,348,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  3,532,000 ",,,,,,,"  3,532,000 ",,,,,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  1,550,000 ",,,,,,,,,,"  1,550,000 ",,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  4,866,000 ",,,,,"  4,866,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,10-Jan-25,penerimaan kas,,"  4,182,600 ",,,,,"  4,182,600 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,13-Jan-25,penerimaan kas,,"  1,966,000 ",,,,,,,"  1,966,000 ",,,,,,,,,,,, JANUARI ,,,,, 
,,13-Jan-25,penerimaan kas,,"  1,250,000 ",,,,,,,,,,"  1,250,000 ",,,,,,,,, JANUARI ,,,,,
,,13-Jan-25,penerimaan kas,,"  4,354,500 ",,,,,"  4,354,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,14-Jan-25,penerimaan kas,,"  4,367,300 ",,,,,"  4,367,300 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,15-Jan-25,penerimaan kas,,"  3,953,800 ",,,,,"  3,953,800 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,15-Jan-25,penerimaan kas,,"  5,000,000 ",,"  5,000,000 ",,,,,,,,,,,,,,,,, JANUARI ,,,,,
,,16-Jan-25,penerimaan kas,,"  5,223,000 ",,,,,"  5,223,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,17-Jan-25,penerimaan kas,,"  4,135,000 ",,,,,"  4,135,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  4,559,500 ",,,,,"  4,559,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  1,237,500 ",,,,,,,"  1,237,500 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  246,500 ",,,,,,,"  246,500 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  5,220,553 ",,,,,,,"  5,220,553 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  559,000 ",,,,,,,"  559,000 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  581,500 ",,,,,,,"  581,500 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  1,800,000 ",,,,,,,,,,"  1,800,000 ",,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  400,000 ",,,,,,,,,,"  400,000 ",,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  565,000 ",,,,,,,,,"  565,000 ",,,,,,,,,, JANUARI ,,,,,
,,21-Jan-25,penerimaan kas,,"  4,667,500 ",,,,,"  4,667,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,22-Jan-25,penerimaan kas,,"  3,719,000 ",,,  - ,,"  3,719,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,23-Jan-25,penerimaan kas,,"  4,455,500 ",,,,,"  4,455,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,23-Jan-25,penerimaan kas,,"  8,662,000 ",,,,,,,"  8,662,000 ",,,,,,,,,,,, JANUARI ,,,,,
,,23-Jan-25,penerimaan kas,,"  669,655 ",,,,,,,,,"  669,655 ",,,,,,,,,, JANUARI ,,,,,
,,24-Jan-25,penerimaan kas,,"  15,000 ",,,,,,,,,"  15,000 ",,,,,,,,,, JANUARI ,,,,,
,,24-Jan-25,,,"  3,983,000 ",,,,,"  3,983,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,30-Jan-25,,,"  2,501,500 ",,,,,"  2,501,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
